PHRASE,SCORE,START_WITH,END_WITH,CASE_SENSITIVE
ind.zensar.com,1,TRUE,TRUE,TRUE
ldap.zensar.com,1,TRUE,TRUE,TRUE
ldap.ind.zensar.com,1,TRUE,TRUE,TRUE
secret.password,1,TRUE,TRUE,TRUE
secret_access_key,1,TRUE,TRUE,TRUE
secret_key,1,TRUE,TRUE,TRUE
secret_token,1,TRUE,TRUE,TRUE
secrets,1,TRUE,TRUE,TRUE
JEKYLL_GITHUB_TOKEN,1,TRUE,TRUE,TRUE
"""JEKYLL_GITHUB_TOKEN""",1,TRUE,TRUE,TRUE
client_secret,1,TRUE,TRUE,TRUE
cloudfront,1,TRUE,TRUE,TRUE
codecov_token,1,TRUE,TRUE,TRUE
internal,1,TRUE,TRUE,TRUE
irc_pass,1,TRUE,TRUE,TRUE
keyPassword,1,TRUE,TRUE,TRUE
key,1,TRUE,TRUE,TRUE
.mlab.com password,1,TRUE,TRUE,TRUE
AWSSecretKey,1,TRUE,TRUE,TRUE
JEKYLL_GITHUB_TOKEN,1,TRUE,TRUE,TRUE
SF_USERNAME salesforce,1,TRUE,TRUE,TRUE
access_key,1,TRUE,TRUE,TRUE
access_token,1,TRUE,TRUE,TRUE
amazonaws,1,TRUE,TRUE,TRUE
apiSecret,1,TRUE,TRUE,TRUE
api_key,1,TRUE,TRUE,TRUE
api_secret,1,TRUE,TRUE,TRUE
apidocs,1,TRUE,TRUE,TRUE
apikey,1,TRUE,TRUE,TRUE
app_key,1,TRUE,TRUE,TRUE
app_secret,1,TRUE,TRUE,TRUE
appkey,1,TRUE,TRUE,TRUE
appkeysecret,1,TRUE,TRUE,TRUE
application_key,1,TRUE,TRUE,TRUE
appsecret,1,TRUE,TRUE,TRUE
appspot,1,TRUE,TRUE,TRUE
auth,1,TRUE,TRUE,TRUE
auth_token,1,TRUE,TRUE,TRUE
authorizationToken,1,TRUE,TRUE,TRUE
aws_access,1,TRUE,TRUE,TRUE
aws_access_key_id,1,TRUE,TRUE,TRUE
aws_key,1,TRUE,TRUE,TRUE
aws_secret,1,TRUE,TRUE,TRUE
aws_token,1,TRUE,TRUE,TRUE
bashrc password,1,TRUE,TRUE,TRUE
bucket_password,1,TRUE,TRUE,TRUE
client_secret,1,TRUE,TRUE,TRUE
cloudfront,1,TRUE,TRUE,TRUE
codecov_token,1,TRUE,TRUE,TRUE
config,1,TRUE,TRUE,TRUE
conn.login,1,TRUE,TRUE,TRUE
connectionstring,1,TRUE,TRUE,TRUE
consumer_key,1,TRUE,TRUE,TRUE
credentials,1,TRUE,TRUE,TRUE
database_password,1,TRUE,TRUE,TRUE
db_password,1,TRUE,TRUE,TRUE
db_username,1,TRUE,TRUE,TRUE
dbpasswd,1,TRUE,TRUE,TRUE
dbpassword,1,TRUE,TRUE,TRUE
dbuser,1,TRUE,TRUE,TRUE
dot-files,1,TRUE,TRUE,TRUE
dotfiles,1,TRUE,TRUE,TRUE
encryption_key,1,TRUE,TRUE,TRUE
fabricApiSecret,1,TRUE,TRUE,TRUE
fb_secret,1,TRUE,TRUE,TRUE
firebase,1,TRUE,TRUE,TRUE
ftp,1,TRUE,TRUE,TRUE
gh_token,1,TRUE,TRUE,TRUE
github_key,1,TRUE,TRUE,TRUE
